batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0009458947000439366,0.023536629500040363
128,32,0.000981194099995264,0.002094217499961815
128,64,0.004460244499932741,0.0067320251000182905
128,128,0.018131216500023584,0.019213442600039342
128,256,0.0696822675000476,0.06333517870011747
256,16,0.0006782101000226248,0.0026528384999892295
256,32,0.002391929999976128,0.005308654199870944
256,64,0.009364305399958538,0.014011931300046854
256,128,0.037219492699932744,0.038298835999967196
256,256,0.13327257440014365,0.13144329319998177
512,16,0.001229996999973082,0.005271330500045223
512,32,0.004586951100009173,0.010768032499936454
512,64,0.018922862899898973,0.027793022400146583
512,128,0.07285073470002316,0.07827743990005728
512,256,0.2584785406999345,0.268852742099989
1024,16,0.002315600800056927,0.010566963299970667
1024,32,0.009153479599945058,0.021699083700059418
1024,64,0.03798083650008266,0.05538722660003259
1024,128,0.1396065575999728,0.16157269880000058
1024,256,0.5083747994999612,0.538656083900014
