batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008689637000088623,0.02316102319998663
128,32,0.0008423119999861229,0.0010156449999840333
128,64,0.0035957476000021416,0.00298540719995799
128,128,0.014707700800045131,0.009489706199974534
128,256,0.061386183000035996,0.031108479999966222
256,16,0.0005476505999922665,0.001193251199970291
256,32,0.002045515200029513,0.002398982500017155
256,64,0.007532917200001066,0.006691456300040954
256,128,0.031146321100027307,0.018939012599958005
256,256,0.11906374959999085,0.06495520690004923
512,16,0.001110713299976851,0.002511367099987183
512,32,0.004178052199972626,0.0050949590999834985
512,64,0.015214152899943656,0.013709783199988123
512,128,0.06252960190001886,0.037470317100064675
512,256,0.22626580599999216,0.13917387950000376
1024,16,0.002172841900005551,0.005100228599962975
1024,32,0.007549386499977118,0.010328255999979774
1024,64,0.031563113700008215,0.027125423100028457
1024,128,0.11899407170001268,0.08036623769999096
1024,256,0.44673795660000903,0.28225023809995947
