batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008851171999140206,0.023123976600004426
128,32,0.0009592266000026939,0.002209981900000457
128,64,0.004270131299995228,0.006899924300000748
128,128,0.01740644489998431,0.0196390358000599
128,256,0.06707355460002873,0.06519417420006449
256,16,0.0006230732999711108,0.0027143274999843923
256,32,0.002266705500005628,0.005431335699972806
256,64,0.009028823400012698,0.01433980449999126
256,128,0.03571312190001663,0.03939529290003065
256,256,0.12839998199999628,0.13541589219996694
512,16,0.001180418199965061,0.005433664300016972
512,32,0.004418404700049905,0.011106839399985802
512,64,0.018164540600014333,0.028637529299999187
512,128,0.07054217959996549,0.08015328229998886
512,256,0.2504793947000053,0.27623108960003717
1024,16,0.002236667200008924,0.010843281100051172
1024,32,0.008761207799943804,0.022127320699996744
1024,64,0.036651601599987774,0.05701201129998026
1024,128,0.13559899049998875,0.1662156838000101
1024,256,0.496586124400028,0.5572366345999626
