batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0013648036998802127,0.02242377449988453
128,32,0.00014724710003974906,0.00023502179997194616
128,64,0.0004887779999990016,0.0007139633999940998
128,128,0.002048050399980639,0.0026655235999442084
128,256,0.008889197199960109,0.010023300299963012
256,16,0.0001299273998938588,0.0001908426000682084
256,32,0.00032715330007704324,0.0005184979999285133
256,64,0.0012604781000391085,0.0016335111000444157
256,128,0.004904532399814343,0.005633306700110552
256,256,0.01900596870004847,0.020561262900082512
512,16,0.00021145419996173586,0.0003965638000863692
512,32,0.0007914083000287065,0.0011799457000051916
512,64,0.0029443310998885862,0.003737400299951332
512,128,0.010504004600034023,0.01181112450008186
512,256,0.04085718289998112,0.04106536819990651
1024,16,0.0005571271000007983,0.0009537276999253663
1024,32,0.0019139935999191947,0.002692327400063732
1024,64,0.005680782700073906,0.007278841900006228
1024,128,0.021398027699979137,0.02273690140009421
1024,256,0.07366008229992076,0.09024460619998535
