batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0012574939999922207,0.022385976700002176
128,32,0.00015184699998371798,0.0002360862999694291
128,64,0.0005057194999835701,0.0007228087000157757
128,128,0.002110895799978607,0.0026739991000340525
128,256,0.009044008000000759,0.00998053510002137
256,16,0.00012702949998129044,0.0002447265999762749
256,32,0.0003323609000290162,0.0005309292999982063
256,64,0.0012616269999398354,0.0016326570000046558
256,128,0.0049503993000371335,0.005615428600026462
256,256,0.019209148899994942,0.020384517500019683
512,16,0.00021953299999495358,0.0003853403000448452
512,32,0.0008136569000271266,0.0012321231999521843
512,64,0.003031792500019037,0.0037314344999913374
512,128,0.01059568699997726,0.01168750949996138
512,256,0.04141058269999576,0.040392798400011996
1024,16,0.0005481807000251137,0.001046399200004089
1024,32,0.0019103422999705798,0.0027277293000224747
1024,64,0.005731953999952566,0.007280241599983128
1024,128,0.02155240629999753,0.022637286599979232
1024,256,0.07591137239994623,0.08973921620001875
