batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008826868000141985,0.02306174210007157
128,32,0.0009293818999594805,0.0016050573000029543
128,64,0.004065315900038513,0.005072752299975036
128,128,0.016980920400033028,0.014895207399990795
128,256,0.06583397639999475,0.04933988460006731
256,16,0.0006088917999932164,0.0019242160999965563
256,32,0.00222484800001439,0.00399759769998127
256,64,0.008692170100016484,0.010476474399933978
256,128,0.03521641839997756,0.02983934429994406
256,256,0.12737076000000797,0.1027316737999854
512,16,0.0012049811999759186,0.004158419899999899
512,32,0.004341619499996341,0.008121147899964853
512,64,0.01817306840002857,0.021293719900040742
512,128,0.06946552500000962,0.06027986280000732
512,256,0.24736874219997845,0.2100550719000239
1024,16,0.0022557679999636094,0.008347697599992899
1024,32,0.008648554899968986,0.016572503399993367
1024,64,0.036386523700002726,0.04246936110002934
1024,128,0.1317043189999822,0.12734817839998414
1024,256,0.4857477327999959,0.4253994305000788
