batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0010698448000312055,0.02514326119994621
128,32,0.0009557708000556886,0.0016283395000755263
128,64,0.00426099600008456,0.005227120499876036
128,128,0.017536668699949586,0.015322110799979782
128,256,0.06772219669996957,0.050410128500061546
256,16,0.0006259738999688125,0.0019850860999213182
256,32,0.00230975400004354,0.004133982600114905
256,64,0.009295533500107922,0.01126473810004427
256,128,0.03624887490004767,0.0305133451000529
256,256,0.13094651129995327,0.10588444269997126
512,16,0.001249456499954249,0.0043018839000524165
512,32,0.0044829217000369685,0.008405228599940529
512,64,0.018626621000157682,0.022176851899985195
512,128,0.07152806829999463,0.06204619909995017
512,256,0.25378728259993294,0.21675090150006326
1024,16,0.00233343730001252,0.008615082100004657
1024,32,0.008872845500081893,0.017000664599981972
1024,64,0.03758989949997158,0.0439715301999513
1024,128,0.13597907049997957,0.13096123749987781
1024,256,0.5006371147000209,0.43834481180001605
