batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008859864000214657,0.0231459988999859
128,32,0.0009204630999647634,0.0014605103000576492
128,64,0.004077221699981237,0.0047169426000209565
128,128,0.016771020099986343,0.013663979899979495
128,256,0.06509454970002934,0.04521693220001453
256,16,0.0005947463000666176,0.001773709099984444
256,32,0.0022063905999857524,0.003685203100008039
256,64,0.008763216200054557,0.00982798219997676
256,128,0.034745341700022435,0.027384358000063003
256,256,0.12613762009996207,0.09336608219998652
512,16,0.0012048952999521134,0.0038251888999866423
512,32,0.0044256103999714465,0.007571530800032633
512,64,0.01790940559999399,0.01983226829997875
512,128,0.06878971369999362,0.05493159880004441
512,256,0.24617098939997958,0.19277663320001465
1024,16,0.002255767300016487,0.007585706099962408
1024,32,0.00871377369999209,0.015286255600017284
1024,64,0.03607124739999108,0.038995483200028505
1024,128,0.13177538519994414,0.11691586059996553
1024,256,0.48679146219999436,0.3932135588000392
