batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008884985000122469,0.02397505809997256
128,32,0.0009656839999479417,0.001997843800040755
128,64,0.004254845799982832,0.006475979599986204
128,128,0.017196124499946563,0.018424983499971858
128,256,0.06655687469997247,0.060807898299981386
256,16,0.0006155431000024692,0.0024978879999707714
256,32,0.002264653699990049,0.005093433599995478
256,64,0.009032146499953342,0.013469804799933626
256,128,0.035319230899949615,0.036823494600025694
256,256,0.12779650029999629,0.12702748729998348
512,16,0.0011754357000199889,0.005085341700032586
512,32,0.004374205500039352,0.010314269299988155
512,64,0.01808519249998426,0.02665246100002605
512,128,0.07007803489996149,0.07509230169996499
512,256,0.2503020727000148,0.2591062787000055
1024,16,0.002243999200027247,0.010242944700030421
1024,32,0.008754659000032916,0.020756064000011065
1024,64,0.03654204789997948,0.05337058420000176
1024,128,0.13519045130003632,0.15551817000000484
1024,256,0.4954098337000232,0.5230267347999643
