batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008876559999407618,0.02346699280001303
128,32,0.0008425071000601747,0.0006661698999323562
128,64,0.003416832300081296,0.0018323315999623445
128,128,0.014545501600105126,0.006276878900007432
128,256,0.05993990870001653,0.02090242129993385
256,16,0.0005513427998721454,0.0007909802999620297
256,32,0.0019678653000028135,0.0014026972999999997
256,64,0.007383091100064121,0.004214822700032528
256,128,0.02933079829995222,0.012359380800035069
256,256,0.1188049496000076,0.043298086600088936
512,16,0.0011683397998695,0.0015429279999807477
512,32,0.004109072600022046,0.0031292016999941554
512,64,0.01457401310003661,0.008569404899981236
512,128,0.061019762800060565,0.024287720300026194
512,256,0.22836130730006515,0.09362977480000154
1024,16,0.002342466299978696,0.0032745700999839756
1024,32,0.007436792700036676,0.006370509700036564
1024,64,0.03001750789990183,0.01699154120001367
1024,128,0.11867799679998825,0.05107970809995095
1024,256,0.4467331776999345,0.19378103369999736
