batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008320225000034043,0.02251593290004621
128,32,0.0008419280000225626,0.0006503430000520894
128,64,0.003369451399976242,0.0018158267999297095
128,128,0.013724159799994595,0.006078267799966852
128,256,0.05798081259995343,0.020667295000021114
256,16,0.000490633899948989,0.0007061204999899928
256,32,0.0019309249000343698,0.0014026477000015803
256,64,0.007202055699985976,0.004066139999963525
256,128,0.028600043199980975,0.012114963499971054
256,256,0.11580226640001001,0.042217839799991455
512,16,0.0010968252000111533,0.0014054115999897476
512,32,0.00398337999999967,0.0030428836000055528
512,64,0.014305553200006215,0.008490985899993576
512,128,0.059279426599982796,0.02395348629995624
512,256,0.2232699349000086,0.09111963300001662
1024,16,0.0022493368000141346,0.0031329959999993663
1024,32,0.0072955492000119195,0.006262836599967158
1024,64,0.02950928850002583,0.01681357589993695
1024,128,0.11599950400000125,0.04984297250005056
1024,256,0.4370953594999946,0.1881135271000403
