batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0008745582000301511,0.023251897000000098
128,32,0.0008436585000254126,0.0005886301000145977
128,64,0.0033281138999882386,0.001619187400001465
128,128,0.01381930069999271,0.005559325199942578
128,256,0.05730394160000287,0.018639088800000536
256,16,0.0004833154999687395,0.0005944612999883248
256,32,0.001859172200033754,0.0011886163999179189
256,64,0.007102780500008521,0.0035895559000209687
256,128,0.02835204140001224,0.01100054859998636
256,256,0.11378834570004984,0.03834488709999277
512,16,0.0010486939999736933,0.001259008699980768
512,32,0.003855168799918829,0.0026730320999831746
512,64,0.013451617699956842,0.0073393159999795895
512,128,0.05696974729999056,0.021751747600023918
512,256,0.22109279669998613,0.08111733099997309
1024,16,0.0021672438999758015,0.0027327509000087957
1024,32,0.007166741200035176,0.0054966780999620825
1024,64,0.028589188700038903,0.014922301300043728
1024,128,0.11443720640002084,0.044491297899980964
1024,256,0.4324282039999844,0.1709120677999863
