batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0009131741000146576,0.02314008799999101
128,32,0.0008405274999859103,0.0010810128999764856
128,64,0.00377681770005438,0.003108675200064681
128,128,0.015032955999959085,0.009696952200010855
128,256,0.06320459120011038,0.031859282599998553
256,16,0.0005620715998702508,0.001198753099924943
256,32,0.0021355256998504047,0.002469754799903967
256,64,0.007765783600007126,0.006839903900072386
256,128,0.03220983439991869,0.019326275299999907
256,256,0.12231406650012104,0.06772930229999474
512,16,0.0012057792999712546,0.0026437497000642908
512,32,0.0041583294000247404,0.0050725806999707855
512,64,0.015833962599981533,0.014050771800066286
512,128,0.06456082509994303,0.03847775009999168
512,256,0.23364363290006623,0.14365535059996545
1024,16,0.0022599957000238647,0.005258815600018352
1024,32,0.007853009999962524,0.010629214899972794
1024,64,0.032035639599916975,0.027169637999986663
1024,128,0.12214371019990722,0.08307394029993702
1024,256,0.46130137700001794,0.29142353739994176
